keyword,growthRate,timeline.label,timeline.value,timeline.time
audi,6.150065492,"Jun 19, 2022",73,1655596800
audi,6.150065492,"Jun 26, 2022",74,1656201600
audi,6.150065492,"Jul 3, 2022",77,1656806400
audi,6.150065492,"Jul 10, 2022",78,1657411200
audi,6.150065492,"Jul 17, 2022",77,1658016000
audi,6.150065492,"Jul 24, 2022",78,1658620800
audi,6.150065492,"Jul 31, 2022",78,1659225600
audi,6.150065492,"Aug 7, 2022",84,1659830400
audi,6.150065492,"Aug 14, 2022",75,1660435200
audi,6.150065492,"Aug 21, 2022",77,1661040000
audi,6.150065492,"Aug 28, 2022",76,1661644800
audi,6.150065492,"Sep 4, 2022",72,1662249600
audi,6.150065492,"Sep 11, 2022",68,1662854400
audi,6.150065492,"Sep 18, 2022",72,1663459200
audi,6.150065492,"Sep 25, 2022",69,1664064000
audi,6.150065492,"Oct 2, 2022",72,1664668800
audi,6.150065492,"Oct 9, 2022",75,1665273600
audi,6.150065492,"Oct 16, 2022",72,1665878400
audi,6.150065492,"Oct 23, 2022",77,1666483200
audi,6.150065492,"Oct 30, 2022",82,1667088000
audi,6.150065492,"Nov 6, 2022",80,1667692800
audi,6.150065492,"Nov 13, 2022",78,1668297600
audi,6.150065492,"Nov 20, 2022",72,1668902400
audi,6.150065492,"Nov 27, 2022",70,1669507200
audi,6.150065492,"Dec 4, 2022",74,1670112000
audi,6.150065492,"Dec 11, 2022",75,1670716800
audi,6.150065492,"Dec 18, 2022",75,1671321600
audi,6.150065492,"Dec 25, 2022",91,1671926400
audi,6.150065492,"Jan 1, 2023",86,1672531200
audi,6.150065492,"Jan 8, 2023",84,1673136000
audi,6.150065492,"Jan 15, 2023",82,1673740800
audi,6.150065492,"Jan 22, 2023",85,1674345600
audi,6.150065492,"Jan 29, 2023",80,1674950400
audi,6.150065492,"Feb 5, 2023",92,1675555200
audi,6.150065492,"Feb 12, 2023",85,1676160000
audi,6.150065492,"Feb 19, 2023",87,1676764800
audi,6.150065492,"Feb 26, 2023",84,1677369600
audi,6.150065492,"Mar 5, 2023",81,1677974400
audi,6.150065492,"Mar 12, 2023",81,1678579200
audi,6.150065492,"Mar 19, 2023",79,1679184000
audi,6.150065492,"Mar 26, 2023",86,1679788800
audi,6.150065492,"Apr 2, 2023",90,1680393600
audi,6.150065492,"Apr 9, 2023",87,1680998400
audi,6.150065492,"Apr 16, 2023",80,1681603200
audi,6.150065492,"Apr 23, 2023",81,1682208000
audi,6.150065492,"Apr 30, 2023",80,1682812800
audi,6.150065492,"May 7, 2023",83,1683417600
audi,6.150065492,"May 14, 2023",81,1684022400
audi,6.150065492,"May 21, 2023",77,1684627200
audi,6.150065492,"May 28, 2023",80,1685232000
audi,6.150065492,"Jun 4, 2023",79,1685836800
audi,6.150065492,"Jun 11, 2023",82,1686441600
audi,6.150065492,"Jun 18, 2023",84,1687046400
audi,6.150065492,"Jun 25, 2023",84,1687651200
audi,6.150065492,"Jul 2, 2023",83,1688256000
audi,6.150065492,"Jul 9, 2023",89,1688860800
audi,6.150065492,"Jul 16, 2023",85,1689465600
audi,6.150065492,"Jul 23, 2023",84,1690070400
audi,6.150065492,"Jul 30, 2023",82,1690675200
